intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
701000,0.021368693796677336,0.242560553633218,0.021368693796677336,0.024361948955916472,1.6176890156918688,1.0,0.8837901909259459,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000437595.1 Faecalibacterium sp. CAG:74, MGS74",4d3dcfd86dd11d49ff70c883ae03f40b,0.242560553633218,701000,0,12168000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.927364674434216,0.9726075813047224,0.9499861278694692,0.9726075813047224,False,1134,1134,46548,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595
585000,0.01783264746227709,0.19493502165944684,0.01783264746227709,0.02019420812924293,1.606837606837607,1.0,0.901634460368606,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003324185.1 Faecalibacterium prausnitzii strain=ATCC 27768, ASM332418v1",a294186b3cb8cdd319bb9d5fdcde1f5a,0.19493502165944684,585000,1,11583000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.9240811561251873,0.9684479227753384,0.9462645394502629,0.9684479227753384,False,940,2074,46548,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
571000,0.01740588324950465,0.15804040963188487,0.01740588324950465,0.03231073300678869,2.633975481611208,2.0,2.4020207763999446,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_002265625.1 Prevotella sp. 885 strain=885, ASM226562v1",6f27695917a933cec0a9bc03e9acdf60,0.15804040963188487,571000,2,11012000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.9236423645924289,0.9644718834753205,0.9440571240338747,0.9644718834753205,False,1504,3578,46548,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002265625
533000,0.016247523243408016,0.17164697706740792,0.01505868007925621,0.013126235284007906,1.236842105263158,1.0,0.542317477428409,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020687245.1 Faecalibacterium longum CLA-AA-H243 strain=CLA-AA-H243, ASM2068724v1",e1ff3e2f54ab82a776eb959bb6aa8673,0.18519805420430854,494000,3,10518000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.9223959670188036,0.9674753972565207,0.9449356821376621,0.9674753972565207,False,611,4189,46548,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum
484000,0.014753848498704467,0.1717638691322902,0.01472336534064929,0.01845406891810604,1.7784679089026916,1.0,1.2220337952758298,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900539625.1 uncultured Prevotella sp., UMGS156",024e7f90d7d6c01a9526f3a6821af502,0.1721194879089616,483000,4,10035000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.9206534453143601,0.9660870828970414,0.9433702641057007,0.9660870828970414,False,859,5048,46548,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900539625
428000,0.013046791647614693,0.1335254562920269,0.012711476909007773,0.013878147288820142,1.5491606714628297,1.0,0.9046140799573612,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_019052365.1 Prevotella stercorea strain=MSK.21.24, ASM1905236v1",af8f6b99c815af8e81a4051dabab00c0,0.13704771053474224,417000,5,9618000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.9184364107448777,0.96178038882196,0.9401083997834189,0.96178038882196,False,646,5694,46548,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
406000,0.012376162170400853,0.1544058205335489,0.011644566377076665,0.010268969665721406,1.2513089005235603,1.0,0.5785754883158661,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900539945.1 uncultured Faecalibacterium sp., UMGS183",3bb5b6dd2b10e5252389d662c26718aa,0.16410670978173,382000,6,9236000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.9174865900177869,0.9651844587669978,0.9413355243923923,0.9651844587669978,False,478,6172,46548,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945
379000,0.011553116902911142,0.1899749373433584,0.011553116902911142,0.10215261665377674,12.546174142480211,1.0,216.10049664207435,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900543625.1 uncultured Clostridiales bacterium, UMGS596",230628a283f5731e4baeb5b079cd6331,0.1899749373433584,379000,7,8857000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.916249412488984,0.9679586170386121,0.942104014763798,0.9679586170386121,False,4755,10927,46548,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900543625
308000,0.00938881268099375,0.09586056644880174,0.00938881268099375,0.007798401649909771,1.1785714285714286,1.0,0.5320219072867433,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001404675.1 Coprococcus eutactus strain=2789STDY5834963, 14207_7#86",6309e330103cdd129eb9c6193ed4268b,0.09586056644880174,308000,8,8549000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.9125302459577803,0.9550632996368518,0.933796772797316,0.9550632996368518,False,363,11290,46548,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A
307000,0.009358329522938576,0.13062098501070663,0.009297363206828228,0.007841368050184755,1.1967213114754098,1.0,0.44425927045126096,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003447235.1 Prevotella sp., ASM344723v1",1bb968b75cb22f8ce2a80f83dafcfb5e,0.13147751605995717,305000,9,8244000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.912472059957025,0.9609982089254501,0.9367351344412376,0.9609982089254501,False,365,11655,46548,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp003447235
286000,0.008718183203779912,0.09588092765662859,0.00844383478128334,0.006874624043997594,1.1552346570397112,1.0,0.4262374626179189,/tmp/nxf.XXXXdvQVR1/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020709055.1 Ruminococcus callidus strain=MSK.21.81, ASM2070905v1",3d36fa1fd7c6961f5ace5e67bf2b8252,0.09899619245413638,277000,10,7967000,ERR2726640.fastq.gz,ERR2726640,389573a2,32805000,51,DNA,1000,32805,True,0.9112052134787371,0.9556662413101029,0.93343572739442,0.9556662413101029,False,320,11975,46548,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000437175
