intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
835000,0.03811393098411539,0.3230174081237911,0.03811393098411539,0.045546670597339425,1.4802395209580839,1.0,0.758523583326218,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000020225.1 Akkermansia muciniphila ATCC BAA-835 strain=ATCC BAA-835, ASM2022v1",43f3b48e59443092850964d355a20ac0,0.3230174081237911,835000,0,8538000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.93794659819548,0.9780858567163913,0.9580162274559356,0.9780858567163913,False,1236,1236,27137,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
679000,0.030993244476903416,0.20501207729468598,0.030993244476903416,0.03183844934959649,1.272459499263623,1.0,0.5977313426051805,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_001406815.1 Roseburia faecis strain=M72, M72",a0f3a6070b93943510064cfd96143d45,0.20501207729468598,679000,1,7859000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.9341508231430452,0.9694054998621654,0.9517781615026053,0.9694054998621654,False,864,2100,27137,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
553000,0.025241920759539894,0.10885826771653544,0.025241920759539894,0.02288388547002248,1.1229656419529837,1.0,0.35992348078480224,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.10885826771653544,553000,2,7306000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.9303986394694223,0.957447412450938,0.9439230259601801,0.957447412450938,False,621,2721,27137,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
402000,0.018349461383969326,0.18165386353366472,0.018349461383969326,0.017393226959501788,1.1741293532338308,1.0,0.4726630000602436,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000425045.1 Acidaminococcus intestini DSM 21505 strain=DSM 21505, ASM42504v1",e576d8032d9f52694db59a45e18a38d3,0.18165386353366472,402000,3,6904000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.9245989554118764,0.9671089113515455,0.945853933381711,0.9671089113515455,False,472,3193,27137,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini
326000,0.014880408983019901,0.14872262773722628,0.014880408983019901,0.024431587868961196,2.0337423312883436,2.0,1.3183797854792105,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_905214625.1 uncultured bacterium, ERR2013610-mag-bin.18",8a5c0281d480936c01525da9c21c8db9,0.14872262773722628,326000,4,6578000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.9208076505394003,0.9633233760509358,0.9420655132951681,0.9633233760509358,False,663,3856,27137,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp905214625
312000,0.014241373014423955,0.06765604539502401,0.01415008216176739,0.012860669934038397,1.1258064516129032,1.0,0.6864907216606199,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.06809253601047577,310000,5,6268000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.9200154795414733,0.9486796795574098,0.9343475795494416,0.9486796795574098,False,349,4205,27137,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
286000,0.013054591929888625,0.0943018993668777,0.012917655650903779,0.013266020562331872,1.2720848056537102,1.0,0.6778928846993618,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003324185.1 Faecalibacterium prausnitzii strain=ATCC 27768, ASM332418v1",a294186b3cb8cdd319bb9d5fdcde1f5a,0.09530156614461846,283000,6,5985000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.9184471743624776,0.9549537834055709,0.9367004788840243,0.9549537834055709,False,360,4565,27137,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
253000,0.011548292861055322,0.10189287152637938,0.011548292861055322,0.011976268563216272,1.284584980237154,1.0,0.594805848759972,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_010669225.1 Megamonas funiformis strain=JCM 14723, ASM1066922v1",7a7700ea5b75889aca0f5d12daf4fbbf,0.10189287152637938,253000,7,5732000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.916241909326686,0.9562068251458989,0.9362243672362924,0.9562068251458989,False,325,4890,27137,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis
199000,0.009083439839328099,0.09413434247871334,0.009083439839328099,0.009396764564985076,1.2814070351758795,1.0,0.627034201299058,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003514385.1 Ruminococcaceae bacterium, ASM351438v1",f9c0b9f063b0491b08d56440914037f2,0.09413434247871334,199000,8,5533000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.9119387981470588,0.9547230624831118,0.9333309303150853,0.9547230624831118,False,255,5145,27137,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385
221000,0.010087639218550302,0.044504383007417395,0.009037794412999817,0.0080333124516343,1.101010101010101,1.0,0.317660306939725,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900537995.1 Roseburia intestinalis L1-82 strain=L1-82, Roseburia intestinalis strain L1-82",a0a31bbf8562bc7e5e4b2fd755c9aae9,0.04967408406383457,198000,9,5335000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.9138157067106288,0.9428311420235471,0.9283234243670879,0.9428311420235471,False,218,5363,27137,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
193000,0.008809567281358408,0.07518504090377873,0.008809567281358408,0.007591111766223238,1.067357512953368,1.0,0.2890430192949503,/tmp/nxf.XXXXBzCuN6/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000432135.1 Firmicutes bacterium CAG:124, MGS124",6b915c74416fbc7426b7dfb5b1f7e785,0.07518504090377873,193000,10,5142000,ERR480935.fastq.gz,ERR480935,3e002059,21908000,51,DNA,1000,21908,True,0.9113915374360148,0.9505246010805257,0.9309580692582702,0.9505246010805257,False,206,5569,27137,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
