intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1516000,0.05997784459566387,0.3076923076923077,0.05997784459566387,0.07390678845060056,1.4571240105540897,1.0,0.7841659690035536,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",84efa859553c7c5d22f6f6377fa345fd,0.3076923076923077,1516000,0,11749000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9463222172913379,0.9771541286871771,0.9617381729892576,0.9771541286871771,False,2209,2209,29889,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
1155000,0.045695521443266336,0.3436477238916989,0.045695521443266336,0.0582153969687845,1.5064935064935066,1.0,1.0822060596695715,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_009494135.1 Prevotella copri strain=iAK278, ASM949413v1",29c5ed357ad46138fbfbe389c1783ea0,0.3436477238916989,1155000,1,10594000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9412890628393309,0.9792739136437433,0.9602814882415371,0.9792739136437433,False,1740,3949,29889,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B
689000,0.027259059977844596,0.28156926849203107,0.027259059977844596,0.03285489645019907,1.4252539912917273,1.0,0.9443134984653796,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025148445.1 Butyrivibrio crossotus strain=DSM 2876, ASM2514844v1",07840e8519e9862dc1ebd1e67b67e5b7,0.28156926849203107,689000,2,9905000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9318022239478345,0.9754557070401838,0.9536289654940091,0.9754557070401838,False,982,4931,29889,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus
603000,0.023856622883367623,0.1313836752509821,0.02381705966133882,0.022817759041787948,1.132890365448505,1.0,0.41437775222022044,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",177d80c9d0f18e5195e47e20bdf54706,0.13160192055870798,602000,3,9303000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9293694900797439,0.9610160300719183,0.9451927600758311,0.9610160300719183,False,682,5613,29889,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
412000,0.016300047475866435,0.16334661354581673,0.01622092103180883,0.01646090534979424,1.2,1.0,0.4569250352135217,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000154465.1 Alistipes putredinis DSM 17216 strain=DSM 17216, ASM15446v1",2f08d0845365d89ec7bf59fbef01de57,0.1641434262948207,410000,4,8893000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9224543427683122,0.9651886925403946,0.9438215176543534,0.9651886925403946,False,492,6105,29889,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
370000,0.01463839215065675,0.08374943259192011,0.014598828928627948,0.01361704975074442,1.102981029810298,1.0,0.36842417254279697,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",61edb0d0d8fa658bb8f1cd38bd81ed44,0.08397639582387653,369000,5,8524000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9205116343182207,0.9525878628262685,0.9365497485722446,0.9525878628262685,False,407,6512,29889,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis
364000,0.014401012818483938,0.08795735401017689,0.014361449596455135,0.013048278630934457,1.0743801652892562,1.0,0.2826075725230228,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_016899955.1 Marseilla massiliensis strain=An819, ASM1689995v1",2696032c16ac08da7d4cbfc0f86bad0a,0.0881996607705355,363000,6,8161000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9202165919698171,0.9535047934792004,0.9368606927245087,0.9535047934792004,False,390,6902,29889,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella massiliensis
366000,0.014480139262541542,0.0688976377952756,0.013847127710080709,0.012646793134598013,1.08,1.0,0.281627920693751,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.07204724409448819,350000,7,7811000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9203154658167743,0.9497304023058021,0.9350229340612881,0.9497304023058021,False,378,7280,29889,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
307000,0.012145909162842222,0.10092653871608206,0.012066782718784618,0.012178393388872161,1.1934426229508197,1.0,0.6467748113091139,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_010509575.1 Faecalibacterium prausnitzii A2-165 strain=JCM 31915, ASM1050957v1",5136f6c0a3924e615495681fbaf7095d,0.1015883520847121,305000,8,7506000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9171488049004595,0.9561507087302398,0.9366497568153496,0.9561507087302398,False,364,7644,29889,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae
305000,0.012066782718784618,0.0626300457761132,0.01190852983066941,0.010773194151694603,1.069767441860465,1.0,0.2547546779093796,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.06346233874323762,301000,9,7205000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.917031274040153,0.9473706435647443,0.9322009588024487,0.9473706435647443,False,322,7966,29889,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
261000,0.01032600094951733,0.10129057489245209,0.010246874505459724,0.010237880156579343,1.1814671814671815,1.0,0.491122119418003,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018408575.1 Oscillibacter sp. MM50 strain=MM50, ASM1840857v1",e6e6d5e92963e67195839cba6e2f7cae,0.1020727414939382,259000,10,6946000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9142342628277753,0.9562398941398221,0.9352370784837987,0.9562398941398221,False,306,8272,29889,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas coprocola
244000,0.009653426175027693,0.06962025316455696,0.00957429973097009,0.00940145203921175,1.1611570247933884,1.0,0.42985138712424287,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000296465.1 Barnesiella intestinihominis YIT 11860 strain=YIT 11860, Barn_inte_YIT_11860_V1",d196529161357ff3df29b07d59ecfd62,0.07019562715765247,242000,11,6704000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9130276935923095,0.9492456783591655,0.9311366859757375,0.9492456783591655,False,281,8553,29889,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis
250000,0.009890805507200506,0.07995985279357645,0.009455610064883685,0.008799223794707083,1.100418410041841,1.0,0.3272169840337598,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_009680455.1 Lachnospira eligens strain=BIOML-A1, ASM968045v1",93a7d0e658bdfb8b86a54dc8bf8c1937,0.08364001338240214,239000,12,6465000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9134626972070652,0.9525128966874855,0.9329877969472753,0.9525128966874855,False,263,8816,29889,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A
236000,0.009336920398797278,0.09129593810444875,0.009336920398797278,0.009100337916959416,1.152542372881356,1.0,0.45337002966424594,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000020225.1 Akkermansia muciniphila ATCC BAA-835 strain=ATCC BAA-835, ASM2022v1",43f3b48e59443092850964d355a20ac0,0.09129593810444875,236000,13,6229000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9124310832119373,0.9541500891425531,0.9332905861772451,0.9541500891425531,False,272,9088,29889,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
245000,0.009692989397056496,0.07857622565480188,0.009257793954739675,0.008598481046538861,1.0982905982905984,1.0,0.297707165816133,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_014337155.1 Wujia chipingensis strain=NSJ-4, ASM1433715v1",d14d6293643dd7ff1e991aef550ff44d,0.08226997985224983,234000,14,5995000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9131009175048858,0.9522044863775757,0.9326527019412307,0.9522044863775757,False,257,9345,29889,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia chipingensis
258000,0.010207311283430923,0.07435719249478805,0.008466529514163634,0.008029709926728896,1.1214953271028036,1.0,0.3541550527382508,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020687245.1 Faecalibacterium longum CLA-AA-H243 strain=CLA-AA-H243, ASM2068724v1",e1ff3e2f54ab82a776eb959bb6aa8673,0.08964558721334259,214000,15,5781000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9140270451396022,0.9538088577852281,0.9339179514624152,0.9538088577852281,False,240,9585,29889,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum
210000,0.008308276626048425,0.10125361620057859,0.008308276626048425,0.007762052929171267,1.1047619047619048,1.0,0.3214197529654515,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435335.1 Clostridium sp. CAG:964, MGS964",5fc272e7775da14bba78226f68a77e87,0.10125361620057859,210000,16,5571000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9103451798427514,0.9560888334800216,0.9332170066613865,0.9560888334800216,False,232,9817,29889,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-964;s__CAG-964 sp000435335
212000,0.00838740307010603,0.07866462010744436,0.008110460515904415,0.00849810967245475,1.2390243902439024,1.0,0.4903349023660122,/tmp/nxf.XXXXHkaqxP/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018918025.1 Oscillibacter sp. MSJ-31 strain=MSJ-31, ASM1891802v1",b4b9b3d4ee70eb2a856753f090684864,0.08135072908672294,205000,17,5366000,ERR480759.fastq.gz,ERR480759,61f2d986,25276000,51,DNA,1000,25276,True,0.9105143902505202,0.9519947168013694,0.9312545535259448,0.9519947168013694,False,254,10071,29889,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
